Brands,Buyer,Buyer PO,Color,Commercial Inv. No.,Customer Group,Customer Style,Delivery Date,Division,Gender,Invoice No,Item,Order Type,Plant,Season,Ship Date,Style,Currency,Rate,Exchange Rate,USD Rate,Quantity,Net Value,Ship Quantity,INR Value,USD Value,Delivery_Delay_Days,On_Time_Flag,In_Full_Flag,OTIF_Flag,Delayed,Days_Left,Order_Value,Order_Age,PR_Created_Date,PR_Delay_Days,PR_Approved_Date,Plant_Load_%,Not_Shipped_Flag
SUPER DRY,DKH RETAIL LTD,1110871,GREY MARL,4000016077,SUPER DRY,M2014057A BUY5,09-07-2025,KNITS,MEN,RGHR25103234,SWEATSHIR,BULK,MANESAR-407 (KNITS),AW25,09-07-2025,SU10100108,GBP,9.5,114.75,84.5,213,2023.5,213,232196.63,2747.89,0,1,1,1,0,-226,2747.89,16,11-06-2025,9,20-06-2025,79.20792079,1
SLEEPWEAR,HANNA ANDERSON,33473,HPR-30729,4000016746,HANNA ANDERSSON,83640,25-07-2025,WOVEN,GIRLS,RGHR25103521,SLEEPWEAR,BULK,MANESAR-11 (WOVEN),HO25,25-07-2025,HA11100102,USD,10,85.09,85.1,995,9950,1011,846645.5,9948.83,0,1,1,1,0,-210,9948.83,61,11-06-2025,5,16-06-2025,76.23762376,1
ATS,PREMIUM BRANDS OPCO LLC,5006043,BLUE QUARTZ,4000018077,PREMIUM BRANDS,853815,12-09-2025,WOVEN,WOMEN,RGHR25104604,TOP,BULK,GURUGRAM-294 (WOVEN),WI25,12-09-2025,PB11100444,USD,21.45,87.29,87.3,760,16302,44,1423001.58,16300.13,0,1,0,0,0,-161,16300.13,85,13-08-2025,7,20-08-2025,74.25742574,1
CALVIN KLEIN,PVH CORP.,4300170431,DARK COFFEE,Not Generated,PVH CORP,47G290G,23-03-2026,KNITS,WOMEN,Not Generated,TOP,BULK,NOIDA - D-49-50 (KNITS),SU26,23-03-2026,PC10100169,USD,6.1,87.8,89.1,450,2745,0,241011,2704.95,0,1,0,0,0,31,2704.95,30,23-02-2026,3,26-02-2026,83.36633663,0
CALVIN KLEIN,PVH CORP.,4300135053,BLACK,4000017996,PVH CORP,40AC805 HO25,15-09-2025,KNITS,MEN,RGUP25101509,POLO,BULK,NOIDA - D-49-50 (KNITS),HO25,15-09-2025,PC10100076,USD,5.9,87.29,87.3,1200,7080,1212,618013.2,7079.19,0,0,1,0,0,-158,7079.19,61,22-08-2025,7,29-08-2025,68.31683168,1
BEACHWEAR T-52,MARKS AND SPENCER PLC,uk-2,PINK MIX,Not Generated,MARK & SPENCER,8846-PET/REP/3,22-02-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-11 (WOVEN),SU26,22-02-2026,MS11100758,USD,12.8,87.75,89.1,99,1267.2,0,111196.8,1248,0,0,0,0,0,2,1248,89,27-01-2026,7,03-02-2026,107.5247525,0
LOFT,PREMIUM BRANDS OPCO LLC,5017541,BLACK 002222,4000021986,PREMIUM BRANDS,768771,02-01-2026,KNITS,WOMEN,RGHR25107738,TANK,BULK,GURUGRAM-418 (KNITS),SP26,02-01-2026,PB10100475,USD,6.85,89.09,89.1,7298,49991.3,7371,4453724.92,49985.69,0,0,1,0,0,-49,49985.69,34,22-11-2025,15,07-12-2025,78.21782178,1
CALVIN KLEIN,PVH ARVIND FASHION PRIVATE LIM,7100017583,PIRATE BLACK,Not Generated,PVH CORP,4RE807G,01-09-2025,KNITS,MEN,Not Generated,TEE,BULK,NOIDA - D-49-50 (KNITS),HO25,01-09-2025,PC10100088,INR,416.5,1,86.2,100,41650,0,41650,483.18,0,1,0,0,0,-172,483.18,41,29-07-2025,8,06-08-2025,94.45544554,0
CROWN & IVY,BELK,2690060,HARBOUR NAVY,4000018208,BELK INTL.,72627SPK000004,20-10-2025,KNITS,WOMEN,RGHR25105062,TEE,BULK,GURUGRAM-871 (KNITS),SP26,20-10-2025,BI10100182,USD,4.14,88,87,3860,15980.4,3860,1406275.2,16164.08,0,0,1,0,0,-123,16164.08,89,17-09-2025,23,10-10-2025,89.30693069,1
BEACHWEAR T-52,MARKS AND SPENCER PLC,Croatia Hub (4093),WHITE MIX,Not Generated,MARK & SPENCER,9832-REG/REP,08-02-2026,WOVEN,WOMEN,Not Generated,DRESS,BULK,MANESAR-166 (WOVEN),SU26,08-02-2026,MS11100558,USD,14.35,89.55,89.1,322,4620.7,0,413783.69,4644.04,0,0,0,0,0,-12,4644.04,54,03-01-2026,4,07-01-2026,86.13861386,0
